Name,Type,Modality,Sphere -,Cylinder,Axis,Add,BC,TD
Air Optix Night & Day Aqua,Spherical,Monthly ,-3.00,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-3.25,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-3.25,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-3.50,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-3.50,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-3.75,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-3.75,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-4.00,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-4.00,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-4.25,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-4.25,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-4.50,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-4.50,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-4.75,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-4.75,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-5.00,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-5.00,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-5.25,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-5.25,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-5.50,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-5.50,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-5.75,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-5.75,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-6.00,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-6.00,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-6.25,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-6.25,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-6.50,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-6.50,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-6.75,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-6.75,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-7.00,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-7.00,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-7.25,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-7.25,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-7.50,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-7.50,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-7.75,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-7.75,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-8.00,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-8.00,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-8.50,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-8.50,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-9.00,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-9.00,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-9.50,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-9.50,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-10.00,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,-10.00,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,0.25,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,0.25,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,0.50,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,0.50,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,0.75,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,0.75,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,1.00,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,1.00,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,1.25,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,1.25,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,1.50,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,1.50,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,1.75,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,1.75,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,2.00,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,2.00,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,2.25,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,2.25,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,2.50,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,2.50,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,2.75,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,2.75,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,3.00,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,3.00,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,3.25,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,3.25,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,3.50,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,3.50,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,3.75,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,3.75,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,4.00,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,4.00,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,4.25,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,4.25,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,4.50,,,,8.40,14.20
