Name,Type,Modality,Sphere,Cylinder,Axis,Add,BC,TD
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,1.25,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,1.25,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,1.50,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,1.50,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,1.50,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,1.75,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,1.75,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,1.75,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,2.00,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,2.00,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,2.00,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,2.25,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,2.25,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,2.25,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,2.50,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,2.50,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,2.50,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,2.75,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,2.75,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,2.75,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,3.00,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,3.00,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,3.00,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,3.25,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,3.25,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,3.25,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,3.50,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,3.50,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,3.50,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,3.75,,,LO,8.7,14
